Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1BM2,1,0,0,0,QUIMICA ORGANICA
1BM3,1,0,0,0,CALCULO VECTORIAL
1BV2,1,0,0,0,CALCULO VECTORIAL
1BV3,1,0,0,0,CALCULO VECTORIAL
1BV2,1,0,0,0,FUNDAMENTOS DE FISICA PARA LA INGENIERIA
1BM3,1,0,0,0,FUNDAMENTOS DE FISICA PARA LA INGENIERIA
1BM5,1,0,0,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
1BV4,1,0,0,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
1BV5,1,0,0,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
1BV6,1,0,0,0,BIOESTADISTICA
1BM6,1,0,0,0,BIOESTADISTICA
1BM5,1,0,0,0,PROGRAMACION ORIENTADA A OBJETOS
1BV4,1,0,0,0,PROGRAMACION ORIENTADA A OBJETOS
1BV2,1,0,0,0,ANATOMIA
1BM4,1,0,0,0,ANATOMIA
1BM3,1,0,0,0,ANATOMIA
1BM3,1,0,0,0,HERRAMIENTAS COMPUTACIONALES
1BV2,1,0,0,0,HERRAMIENTAS COMPUTACIONALES
1BV3,1,0,0,0,HERRAMIENTAS COMPUTACIONALES
1BV4,1,0,0,0,DESARROLLO SOSTENIBLE
1BM5,1,0,0,0,DESARROLLO SOSTENIBLE
1BM3,1,0,0,0,INGLES I
1BV3,1,0,0,0,INGLES I
1BV2,1,0,0,0,INGLES I
2BM1,2,40,0,40,ECUACIONES DIFERENCIALES
2BV1,2,40,0,40,ECUACIONES DIFERENCIALES
2BV2,2,40,0,40,ECUACIONES DIFERENCIALES
2BV5,2,28,0,28,FUNDAMENTOS MATEMATICOS DE INGENIERIA
2BM4,2,28,0,28,FUNDAMENTOS MATEMATICOS DE INGENIERIA
2BM5,2,28,0,28,FUNDAMENTOS MATEMATICOS DE INGENIERIA
2BM4,2,40,0,40,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES
2BV5,2,40,0,40,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES
2BV6,2,40,0,40,FISICA MODERNA Y OPTICA
2BM6,2,40,0,40,FISICA MODERNA Y OPTICA
2BM3,2,40,0,40,FISICOQUIMICA
2BV4,2,40,0,40,FISICOQUIMICA
2BV3,2,40,0,40,FISICOQUIMICA
2BV5,2,40,0,40,BIOQUIMICA
2BM4,2,30,0,30,BIOQUIMICA
2BM3,2,30,0,30,TEORIA DE LOS CIRCUITOS
2BV4,2,30,0,30,TEORIA DE LOS CIRCUITOS
2BV3,2,30,0,30,TEORIA DE LOS CIRCUITOS
2BV3,2,40,0,40,FISIOLOGIA
2BM3,2,40,0,40,FISIOLOGIA
2BM7,2,22,0,22,BIOFISICA
2BV7,2,22,0,22,BIOFISICA
2BM1,2,30,0,30,BIOLOGIA MOLECULAR
2BM2,2,30,0,30,BIOLOGIA MOLECULAR
2BV9,2,35,0,35,INVESTIGACION Y DESARROLLO DE PROYECTOS
2BM8,2,35,0,35,INVESTIGACION Y DESARROLLO DE PROYECTOS
2BM9,2,35,0,35,INVESTIGACION Y DESARROLLO DE PROYECTOS
2BV5,2,35,0,35,SISTEMAS DE GESTION DE CALIDAD
2BM4,2,35,0,35,SISTEMAS DE GESTION DE CALIDAD
2BM5,2,35,0,35,SISTEMAS DE GESTION DE CALIDAD
2BM6,2,30,0,30,BIOGNOSIS
2BV6,2,40,0,40,BIOGNOSIS
2BM7,2,35,0,35,LIDERAZGO Y EMPRENDEDORES
2BV7,2,35,0,35,LIDERAZGO Y EMPRENDEDORES
2BV8,2,35,0,35,LIDERAZGO Y EMPRENDEDORES
2BV3,2,25,0,25,INGLES II
2BM3,2,25,0,25,INGLES II
3BM1,3,40,0,40,ANALISIS NUMERICO
3BV1,3,40,0,40,ANALISIS NUMERICO
3BV1,3,30,0,30,DISPOSITIVOS ELECTRONICOS
3BM1,3,30,0,30,DISPOSITIVOS ELECTRONICOS
3BM2,3,30,0,30,ELECTRONICA DIGITAL
3BV3,3,30,0,30,ELECTRONICA DIGITAL
3BV4,3,40,0,40,TEORIA DEL CONTROL
3BM3,3,30,0,30,TEORIA DEL CONTROL
3BM3,3,22,0,22,BIOMATERIALES
3BV4,3,22,0,22,BIOMATERIALES
3BV5,3,40,0,40,CONTROL NEURODIFUSO
3BM4,3,40,0,40,CONTROL NEURODIFUSO
3BV6,3,30,0,30,COMUNICACION ORAL Y ESCRITA
3BV1,3,25,0,25,INGLES III
3BV2,3,50,0,50,INGLES III
3BV3,3,30,0,30,ELECTRONICA ANALOGICA Y DE POTENCIA
3BM2,3,30,0,30,ELECTRONICA ANALOGICA Y DE POTENCIA
3BM3,3,40,0,40,PROCESAMIENTO DE IMAGENES
3BV4,3,30,0,30,PROCESAMIENTO DE IMAGENES
3BV3,3,22,0,22,BIOMAGNETISMO
3BM2,3,22,0,22,BIOMAGNETISMO
3BM2,3,30,0,30,MECANISMOS BIOMIMETICOS
3BV3,3,22,0,22,MECANISMOS BIOMIMETICOS
3BV5,3,22,0,22,BIOINSTRUMENTACION
3BM4,3,22,0,22,BIOINSTRUMENTACION
3BM4,3,30,0,30,PROCESAMIENTO DE SEÑALES BIOLOGICAS
3BV5,3,30,0,30,PROCESAMIENTO DE SEÑALES BIOLOGICAS
3BV3,3,30,0,30,SENSORES Y ACTUADORES
3BM2,3,30,0,30,SENSORES Y ACTUADORES
3BV6,3,22,0,22,CONTROL DE SISTEMAS BIOLOGICOS
3BM5,3,30,0,30,PROTESIS BIOMIMETICAS
3BM5,3,30,0,30,VISION ARTIFICIAL
3BM5,3,22,0,22,INSTRUMENTACION BIOMEDICA
3BV6,3,22,0,22,SIMULACION DE ANALISIS DE ESFUERZOS
4BM2,4,30,0,30,MODELADO Y CONTROL DE SISTEMAS BIONICOS
4BV2,4,30,0,30,MODELADO Y CONTROL DE SISTEMAS BIONICOS
4BV1,4,30,0,30,DISPOSITIVOS PROGRAMABLES
4BM1,4,30,0,30,DISPOSITIVOS PROGRAMABLES
4BM1,4,30,0,30,ANALISIS DE ESFUERZOS
4BV1,4,40,0,40,ANALISIS DE ESFUERZOS
4BV2,4,20,0,20,MANUFACTURA DE ELEMENTOS BIOMIMETICOS
4BM2,4,20,0,20,MANUFACTURA DE ELEMENTOS BIOMIMETICOS
4BM2,4,40,0,40,RECONOCIMIENTO DE PATRONES
4BV2,4,30,0,30,RECONOCIMIENTO DE PATRONES
4BV3,4,35,0,35,NORMATIVIDAD Y GESTION TECNOLOGICA
4BM3,4,35,0,35,NORMATIVIDAD Y GESTION TECNOLOGICA
4BV6,4,22,0,22,BIOSENSORES Y BIOCHIPS
4BM4,4,30,0,30,INGENIERIA DEL CONTROL HUMANO
4BM8,4,22,0,22,SISTEMAS BIOMECANICOS
4BV4,4,22,0,22,NEUROROBOTICA
4BV5,4,22,0,22,TELEMETRIA MEDICA
4BM5,4,30,0,30,IMAGENOLOGIA
5BM2,5,22,0,22,BIOROBOTICA
5BV2,5,22,0,22,BIOROBOTICA
5BV1,5,22,0,22,BIOELECTRONICA
5BM1,5,22,0,22,BIOELECTRONICA
5BM1,5,22,0,22,BIOMECANICA
5BV1,5,22,0,22,BIOMECANICA
5BV1,5,22,0,22,METODOLOGIA DE LA INVESTIGACION
5BM1,5,22,0,22,METODOLOGIA DE LA INVESTIGACION
5BM2,5,22,0,22,TRABAJO TERMINAL I
5BV2,5,40,0,40,TRABAJO TERMINAL I
5BV3,5,40,0,40,TRABAJO TERMINAL II
5BM3,5,22,0,22,TRABAJO TERMINAL II
