Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1MM3,1,0,0,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MM6,1,0,0,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MM7,1,0,0,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MV4,1,0,0,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MM5,1,0,0,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MV5,1,0,0,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MV5,1,0,0,0,CALCULO VECTORIAL
1MM5,1,0,0,0,CALCULO VECTORIAL
1MV4,1,0,0,0,CALCULO VECTORIAL
1MM7,1,0,0,0,CALCULO VECTORIAL
1MM6,1,0,0,0,CALCULO VECTORIAL
1MM6,1,0,0,0,CIRCUITOS ELECTRICOS
1MM7,1,0,0,0,CIRCUITOS ELECTRICOS
1MV4,1,0,0,0,CIRCUITOS ELECTRICOS
1MM5,1,0,0,0,CIRCUITOS ELECTRICOS
1MV5,1,0,0,0,CIRCUITOS ELECTRICOS
1MV6,1,0,0,0,CIRCUITOS ELECTRICOS AVANZADOS
1MV7,1,0,0,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM10,1,0,0,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM12,1,0,0,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM11,1,0,0,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM6,1,0,0,0,ECUACIONES DIFERENCIALES
1MV4,1,0,0,0,ECUACIONES DIFERENCIALES
1MM7,1,0,0,0,ECUACIONES DIFERENCIALES
1MM5,1,0,0,0,ECUACIONES DIFERENCIALES
1MV5,1,0,0,0,ECUACIONES DIFERENCIALES
1MV6,1,0,0,0,ELECTRICIDAD Y MAGNETISMO
1MV7,1,0,0,0,ELECTRICIDAD Y MAGNETISMO
1MM10,1,0,0,0,ELECTRICIDAD Y MAGNETISMO
1MM11,1,0,0,0,ELECTRICIDAD Y MAGNETISMO
1MM6,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MM7,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MV4,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MM5,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MV5,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MM8,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MM9,1,0,0,0,COMUNICACION ORAL Y ESCRITA
1MV6,1,0,0,0,FUNDAMENTOS DE ELECTRONICA
1MV7,1,0,0,0,FUNDAMENTOS DE ELECTRONICA
1MM10,1,0,0,0,FUNDAMENTOS DE ELECTRONICA
1MM11,1,0,0,0,FUNDAMENTOS DE ELECTRONICA
1MM10,1,0,0,0,INGLES I
