Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1TV4,1,0,0,0,PROGRAMACION
1TV7,1,0,0,0,PROGRAMACION
1TV8,1,0,0,0,ESTRUCTURA DE DATOS
1TM5,1,0,0,0,ESTRUCTURA DE DATOS
1TV10,1,0,0,0,ESTRUCTURA DE DATOS
1TV11,1,0,0,0,DISEÑO DIGITAL
1TM8,1,0,0,0,DISEÑO DIGITAL
1TM9,1,0,0,0,ARQUITECTURA DE COMPUTADORAS
1TV12,1,0,0,0,ARQUITECTURA DE COMPUTADORAS
1TM2,1,0,0,0,FUNDAMENTOS DE FISICA
1TV5,1,0,0,0,FUNDAMENTOS DE FISICA
1TV3,1,0,0,0,FUNDAMENTOS DE FISICA
1TV3,1,0,0,0,ECUACIONES DIFERENCIALES
1TV5,1,0,0,0,ECUACIONES DIFERENCIALES
1TM2,1,0,0,0,ECUACIONES DIFERENCIALES
1TM5,1,0,0,0,PROBABILIDAD
1TM7,1,0,0,0,PROBABILIDAD
1TV8,1,0,0,0,PROBABILIDAD
1TV9,1,0,0,0,VARIABLE COMPLEJA
1TM6,1,0,0,0,VARIABLE COMPLEJA
1TM8,1,0,0,0,ELECTROMAGNETISMO
1TV11,1,0,0,0,ELECTROMAGNETISMO
1TM2,1,0,0,0,CALCULO MULTIVARIABLE
1TV5,1,0,0,0,CALCULO MULTIVARIABLE
1TV3,1,0,0,0,CALCULO MULTIVARIABLE
1TV3,1,0,0,0,ADMINISTRACION ORGANIZACIONAL
1TV5,1,0,0,0,ADMINISTRACION ORGANIZACIONAL
1TM2,1,0,0,0,ADMINISTRACION ORGANIZACIONAL
1TM3,1,0,0,0,ADMINISTRACION ORGANIZACIONAL
1TM4,1,0,0,0,"ETICA, PROFESION Y SOCIEDAD"
1TM2,1,0,0,0,"ETICA, PROFESION Y SOCIEDAD"
1TV5,1,0,0,0,"ETICA, PROFESION Y SOCIEDAD"
1TV3,1,0,0,0,"ETICA, PROFESION Y SOCIEDAD"
1TV3,1,0,0,0,INGLES I
1TV6,1,0,0,0,INGLES I
