Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1BM1,1,37,37,0,QUIMICA ORGANICA
1BM1,1,35,35,0,ALGEBRA LINEAL
1BM1,1,33,33,0,CALCULO DIFERENCIAL E INTEGRAL
1BM1,1,35,35,0,METROLOGIA
1BM1,1,35,35,0,BIOETICA
1BM2,1,14,14,0,CALCULO VECTORIAL
1BM2,1,37,37,0,FUNDAMENTOS DE FISICA PARA LA INGENIERIA
1BM2,1,36,36,0,ANATOMIA
1BM2,1,28,28,0,HERRAMIENTAS COMPUTACIONALES
1BM2,1,23,23,0,INGLES I
1BM3,1,23,23,0,ANATOMIA
1BM4,1,36,36,0,DESARROLLO SOSTENIBLE
1BM5,1,30,30,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
1BM6,1,33,33,0,PROGRAMACION ORIENTADA A OBJETOS
1BM7,1,40,40,0,BIOESTADISTICA
1BV1,1,39,39,0,BIOLOGIA CELULAR
1BV1,1,39,39,0,QUIMICA ORGANICA
1BV1,1,39,39,0,ALGEBRA LINEAL
1BV1,1,33,33,0,CALCULO DIFERENCIAL E INTEGRAL
1BV1,1,39,39,0,METROLOGIA
1BV1,1,39,39,0,BIOETICA
1BV10,1,19,19,0,BIOESTADISTICA
1BV2,1,39,39,0,CALCULO VECTORIAL
1BV2,1,12,12,0,FUNDAMENTOS DE FISICA PARA LA INGENIERIA
1BV2,1,14,14,0,ANATOMIA
1BV2,1,33,33,0,HERRAMIENTAS COMPUTACIONALES
1BV3,1,26,26,0,INGLES I
1BV4,1,22,22,0,CALCULO VECTORIAL
1BV5,1,21,21,0,HERRAMIENTAS COMPUTACIONALES
1BV5,1,26,26,0,INGLES I
1BV6,1,24,24,0,DESARROLLO SOSTENIBLE
1BV7,1,34,34,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
1BV8,1,16,16,0,PROGRAMACION ORIENTADA A OBJETOS
1BV9,1,20,20,0,FUNDAMENTOS DE TEORIA ELECTROMAGNETICA
2BM1,2,40,38,2,ECUACIONES DIFERENCIALES
2BM1,2,40,31,9,BIOLOGIA MOLECULAR
2BM10,2,40,37,3,INVESTIGACION Y DESARROLLO DE PROYECTOS
2BM12,2,1,1,0,ELECTIVA II
2BM2,2,40,31,9,FISICOQUIMICA
2BM2,2,40,37,3,FISIOLOGIA
2BM2,2,30,29,1,INGLES II
2BM3,2,30,26,4,TEORIA DE LOS CIRCUITOS
2BM4,2,40,37,3,FUNDAMENTOS MATEMATICOS DE INGENIERIA
2BM4,2,40,39,1,BIOQUIMICA
2BM5,2,40,26,14,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES
2BM5,2,40,39,1,SISTEMAS DE GESTION DE CALIDAD
2BM6,2,30,29,1,BIOGNOSIS
2BM7,2,40,26,14,FISICA MODERNA Y OPTICA
2BM8,2,25,24,1,BIOFISICA
2BM9,2,40,32,8,LIDERAZGO Y EMPRENDEDORES
2BV1,2,40,7,33,ECUACIONES DIFERENCIALES
2BV1,2,40,30,10,BIOLOGIA MOLECULAR
2BV10,2,40,40,0,FISICA MODERNA Y OPTICA
2BV11,2,25,22,3,BIOFISICA
2BV12,2,40,33,7,LIDERAZGO Y EMPRENDEDORES
2BV13,2,40,16,24,LIDERAZGO Y EMPRENDEDORES
2BV14,2,40,40,0,INVESTIGACION Y DESARROLLO DE PROYECTOS
2BV2,2,40,12,28,ECUACIONES DIFERENCIALES
2BV3,2,40,19,21,FISICOQUIMICA
2BV3,2,40,20,20,FISIOLOGIA
2BV3,2,30,29,1,INGLES II
2BV4,2,40,25,15,TEORIA DE LOS CIRCUITOS
2BV5,2,40,26,14,FISICOQUIMICA
2BV6,2,40,11,29,TEORIA DE LOS CIRCUITOS
2BV6,2,30,24,6,INGLES II
2BV7,2,40,38,2,FUNDAMENTOS MATEMATICOS DE INGENIERIA
2BV7,2,40,22,18,BIOQUIMICA
2BV8,2,40,39,1,ONDAS ELECTROMAGNETICAS Y SISTEMAS RADIANTES
2BV8,2,40,38,2,SISTEMAS DE GESTION DE CALIDAD
2BV9,2,40,27,13,BIOGNOSIS
3BM1,3,40,24,16,ANALISIS NUMERICO
3BM1,3,30,18,12,DISPOSITIVOS ELECTRONICOS
3BM1,3,30,24,6,INGLES III
3BM10,3,22,11,11,INTELIGENCIA ARTIFICIAL
3BM2,3,25,24,1,ELECTRONICA DIGITAL
3BM2,3,30,22,8,ELECTRONICA ANALOGICA Y DE POTENCIA
3BM2,3,22,22,0,BIOMAGNETISMO
3BM3,3,30,28,2,MECANISMOS BIOMIMETICOS
3BM3,3,31,31,0,SENSORES Y ACTUADORES
3BM4,3,30,27,3,BIOMATERIALES
3BM5,3,40,17,23,TEORIA DEL CONTROL
3BM5,3,30,19,11,PROCESAMIENTO DE IMAGENES
3BM6,3,30,14,16,CONTROL NEURODIFUSO
3BM6,3,22,17,5,BIOINSTRUMENTACION
3BM7,3,30,27,3,PROCESAMIENTO DE SEÑALES BIOLOGICAS
3BM8,3,30,5,25,ERGONOMIA Y BIODINAMICA
3BM9,3,40,5,35,ROBOTICA EVOLUTIVA Y AUTONOMA
3BV1,3,40,37,3,ANALISIS NUMERICO
3BV1,3,30,30,0,DISPOSITIVOS ELECTRONICOS
3BV11,3,40,6,34,COMUNICACION ORAL Y ESCRITA
3BV2,3,30,22,8,INGLES III
3BV3,3,30,23,7,ELECTRONICA DIGITAL
3BV3,3,30,30,0,ELECTRONICA ANALOGICA Y DE POTENCIA
3BV3,3,22,21,1,BIOMAGNETISMO
3BV4,3,22,22,0,MECANISMOS BIOMIMETICOS
3BV4,3,30,7,23,SENSORES Y ACTUADORES
3BV5,3,30,22,8,BIOMATERIALES
3BV6,3,30,30,0,TEORIA DEL CONTROL
3BV6,3,40,33,7,PROCESAMIENTO DE IMAGENES
3BV7,3,40,35,5,CONTROL NEURODIFUSO
3BV7,3,22,22,0,BIOINSTRUMENTACION
3BV8,3,30,29,1,PROCESAMIENTO DE SEÑALES BIOLOGICAS
3BV9,3,22,8,14,SIMULACION DE ANALISIS DE ESFUERZOS
4BM1,4,25,25,0,DISPOSITIVOS PROGRAMABLES
4BM1,4,30,7,23,ANALISIS DE ESFUERZOS
4BM2,4,20,20,0,MANUFACTURA DE ELEMENTOS BIOMIMETICOS
4BM3,4,30,20,10,MODELADO Y CONTROL DE SISTEMAS BIONICOS
4BM3,4,40,11,29,RECONOCIMIENTO DE PATRONES
4BM4,4,40,33,7,NORMATIVIDAD Y GESTION TECNOLOGICA
4BM5,4,30,30,0,INSTRUMENTACION BIOTECNOLOGICA
4BM6,4,30,14,16,SISTEMAS SENSORIALES
4BM7,4,30,25,5,IMAGENOLOGIA
4BM9,4,3,3,0,ELECTIVA III
4BV1,4,25,10,15,DISPOSITIVOS PROGRAMABLES
4BV1,4,40,40,0,ANALISIS DE ESFUERZOS
4BV2,4,30,20,10,MODELADO Y CONTROL DE SISTEMAS BIONICOS
4BV2,4,20,19,1,MANUFACTURA DE ELEMENTOS BIOMIMETICOS
4BV2,4,35,28,7,RECONOCIMIENTO DE PATRONES
4BV3,4,25,17,8,NORMATIVIDAD Y GESTION TECNOLOGICA
4BV4,4,30,23,7,BIOSENSORES Y BIOCHIPS
4BV5,4,30,27,3,TELEMETRIA MEDICA
5BM1,5,22,18,4,BIOELECTRONICA
5BM1,5,22,22,0,BIOMECANICA
5BM1,5,25,25,0,METODOLOGIA DE LA INVESTIGACION
5BM2,5,30,30,0,BIOROBOTICA
5BM3,5,35,33,2,TRABAJO TERMINAL I
5BM4,5,22,21,1,TRABAJO TERMINAL II
5BM6,5,3,3,0,ELECTIVA IV
5BV1,5,22,22,0,BIOELECTRONICA
5BV1,5,22,20,2,BIOMECANICA
5BV2,5,25,22,3,METODOLOGIA DE LA INVESTIGACION
5BV3,5,22,9,13,BIOROBOTICA
5BV3,5,40,39,1,TRABAJO TERMINAL I
5BV4,5,40,26,14,TRABAJO TERMINAL II
