Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1MM1,1,34,34,0,CALCULO DIFERENCIAL E INTEGRAL
1MM1,1,36,36,0,DIBUJO ASISTIDO POR COMPUTADORA
1MM1,1,36,36,0,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
1MM1,1,37,37,0,HERRAMIENTAS COMPUTACIONALES
1MM1,1,36,36,0,INTRODUCCION A LA MECATRONICA
1MM1,1,36,36,0,INTRODUCCION A LA PROGRAMACION
1MM1,1,36,36,0,MECANICA DE LA PARTICULA
1MM10,1,28,28,0,INGLES I
1MM11,1,34,34,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM11,1,28,28,0,ELECTRICIDAD Y MAGNETISMO
1MM12,1,26,26,0,FUNDAMENTOS DE ELECTRONICA
1MM13,1,30,30,0,CIRCUITOS ELECTRICOS AVANZADOS
1MM14,1,28,28,0,INGLES II
1MM14,1,35,35,0,RESISTENCIA DE MATERIALES
1MM15,1,38,38,0,RESISTENCIA DE MATERIALES
1MM17,1,22,22,0,ELECTRICIDAD Y MAGNETISMO
1MM17,1,24,24,0,FUNDAMENTOS DE ELECTRONICA
1MM2,1,34,34,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MM2,1,34,34,0,CALCULO DIFERENCIAL E INTEGRAL
1MM2,1,36,36,0,DIBUJO ASISTIDO POR COMPUTADORA
1MM2,1,35,35,0,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
1MM2,1,36,36,0,HERRAMIENTAS COMPUTACIONALES
1MM2,1,35,35,0,INTRODUCCION A LA MECATRONICA
1MM2,1,36,36,0,INTRODUCCION A LA PROGRAMACION
1MM2,1,35,35,0,MECANICA DE LA PARTICULA
1MM3,1,24,24,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MM3,1,8,8,0,CALCULO DIFERENCIAL E INTEGRAL
1MM4,1,17,17,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MM4,1,40,40,0,CALCULO VECTORIAL
1MM4,1,29,29,0,CIRCUITOS ELECTRICOS
1MM4,1,39,39,0,ECUACIONES DIFERENCIALES
1MM4,1,30,30,0,COMUNICACION ORAL Y ESCRITA
1MM4,1,40,40,0,MECANICA DEL CUERPO RIGIDO
1MM4,1,19,19,0,PROCESO DE MANUFACTURA
1MM5,1,39,39,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MM5,1,26,26,0,CALCULO VECTORIAL
1MM5,1,30,30,0,CIRCUITOS ELECTRICOS
1MM5,1,40,40,0,ECUACIONES DIFERENCIALES
1MM5,1,20,20,0,COMUNICACION ORAL Y ESCRITA
1MM5,1,39,39,0,MECANICA DEL CUERPO RIGIDO
1MM5,1,19,19,0,PROCESO DE MANUFACTURA
1MM6,1,33,33,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MM6,1,40,40,0,CALCULO VECTORIAL
1MM6,1,29,29,0,CIRCUITOS ELECTRICOS
1MM6,1,20,20,0,ECUACIONES DIFERENCIALES
1MM6,1,25,25,0,COMUNICACION ORAL Y ESCRITA
1MM6,1,40,40,0,MECANICA DEL CUERPO RIGIDO
1MM6,1,19,19,0,PROCESO DE MANUFACTURA
1MM7,1,4,4,0,COMUNICACION ORAL Y ESCRITA
1MM8,1,31,31,0,COMUNICACION ORAL Y ESCRITA
1MM9,1,39,39,0,ELECTRICIDAD Y MAGNETISMO
1MV1,1,38,38,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MV1,1,38,38,0,CALCULO DIFERENCIAL E INTEGRAL
1MV1,1,38,38,0,DIBUJO ASISTIDO POR COMPUTADORA
1MV1,1,38,38,0,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
1MV1,1,38,38,0,HERRAMIENTAS COMPUTACIONALES
1MV1,1,38,38,0,INTRODUCCION A LA MECATRONICA
1MV1,1,38,38,0,INTRODUCCION A LA PROGRAMACION
1MV1,1,37,37,0,MECANICA DE LA PARTICULA
1MV10,1,29,29,0,CIRCUITOS ELECTRICOS AVANZADOS
1MV11,1,33,33,0,FUNDAMENTOS DE ELECTRONICA
1MV12,1,24,24,0,INGLES II
1MV12,1,39,39,0,RESISTENCIA DE MATERIALES
1MV13,1,26,26,0,INGLES II
1MV13,1,35,35,0,RESISTENCIA DE MATERIALES
1MV2,1,40,40,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MV2,1,40,40,0,CALCULO DIFERENCIAL E INTEGRAL
1MV2,1,40,40,0,DIBUJO ASISTIDO POR COMPUTADORA
1MV2,1,40,40,0,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
1MV2,1,40,40,0,HERRAMIENTAS COMPUTACIONALES
1MV2,1,40,40,0,INTRODUCCION A LA MECATRONICA
1MV2,1,40,40,0,INTRODUCCION A LA PROGRAMACION
1MV2,1,33,33,0,MECANICA DE LA PARTICULA
1MV3,1,36,36,0,ALGEBRA LINEAL Y NUMEROS COMPLEJOS
1MV3,1,36,36,0,CALCULO DIFERENCIAL E INTEGRAL
1MV3,1,37,37,0,DIBUJO ASISTIDO POR COMPUTADORA
1MV3,1,36,36,0,ESTRUCTURA Y PROPIEDADES DE LOS MATERIALES
1MV3,1,37,37,0,HERRAMIENTAS COMPUTACIONALES
1MV3,1,36,36,0,INTRODUCCION A LA MECATRONICA
1MV3,1,37,37,0,INTRODUCCION A LA PROGRAMACION
1MV3,1,34,34,0,MECANICA DE LA PARTICULA
1MV4,1,30,30,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MV4,1,28,28,0,CALCULO VECTORIAL
1MV4,1,5,5,0,ECUACIONES DIFERENCIALES
1MV4,1,31,31,0,MECANICA DEL CUERPO RIGIDO
1MV4,1,18,18,0,PROCESO DE MANUFACTURA
1MV5,1,30,30,0,CIRCUITOS ELECTRICOS
1MV5,1,14,14,0,COMUNICACION ORAL Y ESCRITA
1MV6,1,32,32,0,ANALISIS Y DISEÑO DE PROGRAMAS
1MV6,1,9,9,0,CALCULO VECTORIAL
1MV6,1,26,26,0,ECUACIONES DIFERENCIALES
1MV6,1,12,12,0,MECANICA DEL CUERPO RIGIDO
1MV6,1,21,21,0,PROCESO DE MANUFACTURA
1MV7,1,31,31,0,CIRCUITOS ELECTRICOS
1MV7,1,18,18,0,COMUNICACION ORAL Y ESCRITA
1MV8,1,27,27,0,CIRCUITOS ELECTRICOS AVANZADOS
1MV8,1,40,40,0,ELECTRICIDAD Y MAGNETISMO
1MV8,1,35,35,0,FUNDAMENTOS DE ELECTRONICA
1MV9,1,26,26,0,INGLES I
2MM1,2,40,35,5,ANALISIS DE SEÑALES Y SISTEMAS
2MM11,2,40,29,11,PROGRAMACION AVANZADA
2MM12,2,40,36,4,ADMINISTRACION ORGANIZACIONAL
2MM12,2,40,36,4,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS
2MM12,2,40,39,1,MECANICA DE FLUIDOS
2MM12,2,30,27,3,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ"
2MM13,2,30,30,0,CIRCUITOS LOGICOS
2MM13,2,40,39,1,TEORIA ELECTROMAGNETICA
2MM14,2,40,25,15,ADMINISTRACION ORGANIZACIONAL
2MM14,2,40,25,15,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS
2MM14,2,40,39,1,MECANICA DE FLUIDOS
2MM14,2,30,24,6,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ"
2MM15,2,30,30,0,CIRCUITOS LOGICOS
2MM16,2,40,40,0,TEORIA ELECTROMAGNETICA
2MM17,2,40,37,3,ADMINISTRACION ORGANIZACIONAL
2MM18,2,30,30,0,MAQUINAS ELECTRICAS
2MM18,2,25,25,0,NEUMATICA E HIDRAULICA
2MM19,2,30,30,0,SENSORES Y ACONDICIONADORES DE SEÑAL
2MM2,2,40,40,0,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA
2MM20,2,35,35,0,DISPOSITIVOS LOGICOS PROGRAMABLES
2MM20,2,30,27,3,INGLES III
2MM21,2,25,25,0,MAQUINAS ELECTRICAS
2MM21,2,25,25,0,NEUMATICA E HIDRAULICA
2MM22,2,30,28,2,SENSORES Y ACONDICIONADORES DE SEÑAL
2MM23,2,35,35,0,DISPOSITIVOS LOGICOS PROGRAMABLES
2MM23,2,30,29,1,INGLES III
2MM24,2,26,26,0,LIDERAZGO Y EMPRENDEDORES
2MM25,2,40,36,4,SISTEMAS NEURODIFUSOS
2MM26,2,40,40,0,SISTEMAS NEURODIFUSOS
2MM3,2,40,39,1,ANALISIS DE SEÑALES Y SISTEMAS
2MM3,2,30,30,0,ANALISIS Y SINTESIS DE MECANISMOS
2MM4,2,20,19,1,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA
2MM5,2,40,39,1,ANALISIS DE SEÑALES Y SISTEMAS
2MM6,2,35,29,6,ANALISIS Y SINTESIS DE MECANISMOS
2MM7,2,35,32,3,ELECTRONICA ANALOGICA
2MM7,2,40,36,4,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA
2MM7,2,40,39,1,TERMODINAMICA
2MM8,2,40,39,1,OSCILACIONES Y OPTICA
2MM9,2,35,35,0,ELECTRONICA ANALOGICA
2MM9,2,40,39,1,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA
2MM9,2,35,35,0,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS
2MM9,2,40,38,2,TERMODINAMICA
2MV1,2,40,31,9,ANALISIS DE SEÑALES Y SISTEMAS
2MV1,2,35,31,4,ANALISIS Y SINTESIS DE MECANISMOS
2MV10,2,40,29,11,PROGRAMACION AVANZADA
2MV11,2,40,25,15,ADMINISTRACION ORGANIZACIONAL
2MV11,2,40,40,0,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS
2MV11,2,40,39,1,MECANICA DE FLUIDOS
2MV11,2,30,28,2,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ"
2MV12,2,30,30,0,CIRCUITOS LOGICOS
2MV12,2,40,40,0,TEORIA ELECTROMAGNETICA
2MV13,2,40,28,12,ADMINISTRACION ORGANIZACIONAL
2MV13,2,40,38,2,MECANICA DE FLUIDOS
2MV13,2,30,28,2,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ"
2MV14,2,40,39,1,DISEÑO BASICO DE ELEMENTOS DE MAQUINAS
2MV15,2,30,23,7,CIRCUITOS LOGICOS
2MV16,2,30,30,0,"MICROPROCESADORES, MICROCONTROLADORES E INTERFAZ"
2MV17,2,25,25,0,NEUMATICA E HIDRAULICA
2MV18,2,30,28,2,SENSORES Y ACONDICIONADORES DE SEÑAL
2MV19,2,31,31,0,INGLES III
2MV2,2,20,20,0,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA
2MV20,2,25,25,0,NEUMATICA E HIDRAULICA
2MV21,2,35,20,15,DISPOSITIVOS LOGICOS PROGRAMABLES
2MV21,2,30,29,1,SENSORES Y ACONDICIONADORES DE SEÑAL
2MV23,2,40,36,4,SISTEMAS NEURODIFUSOS
2MV3,2,40,29,11,ANALISIS DE SEÑALES Y SISTEMAS
2MV3,2,35,28,7,ANALISIS Y SINTESIS DE MECANISMOS
2MV4,2,20,20,0,MANTENIMIENTO Y SISTEMAS DE MANUFACTURA
2MV5,2,35,30,5,ELECTRONICA ANALOGICA
2MV5,2,40,40,0,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA
2MV5,2,30,30,0,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS
2MV5,2,40,38,2,TERMODINAMICA
2MV6,2,30,30,0,OSCILACIONES Y OPTICA
2MV6,2,40,34,6,PROGRAMACION AVANZADA
2MV7,2,35,35,0,ELECTRONICA ANALOGICA
2MV7,2,40,40,0,PROBABILIDAD Y ESTADISTICA PARA INGENIERIA
2MV7,2,40,38,2,TERMODINAMICA
2MV8,2,30,24,6,SIMULACION ELECTRONICA Y DISEÑO DE CIRCUITOS IMPRESOS
2MV9,2,40,39,1,OSCILACIONES Y OPTICA
2MV9,2,40,36,4,PROGRAMACION AVANZADA
3MM1,3,40,39,1,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS
3MM10,3,40,21,19,CONTROL CLASICO
3MM10,3,40,39,1,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS
3MM11,3,30,30,0,PROYECTO INTEGRADOR
3MM12,3,30,30,0,PROCESADOR DIGITAL DE SEÑALES
3MM13,3,30,29,1,PROYECTO INTEGRADOR
3MM14,3,30,30,0,PROCESADOR DIGITAL DE SEÑALES
3MM15,3,30,30,0,INGENIERIA AMBIENTAL
3MM16,3,30,30,0,AUTOMATIZACION INDUSTRIAL
3MM17,3,30,30,0,AUTOMATIZACION INDUSTRIAL
3MM17,3,30,29,1,INGENIERIA AMBIENTAL
3MM18,3,40,28,12,DESARROLLO EMPRESARIAL
3MM19,3,30,22,8,SEGURIDAD INDUSTRIAL
3MM2,3,40,40,0,ETICA PARA EL EJERCICIO PROFESIONAL
3MM20,3,35,34,1,TOPICOS AVANZADOS DE SENSORES
3MM20,3,40,40,0,PRODUCCION MAS LIMPIA
3MM21,3,40,31,9,SISTEMAS OPERATIVOS EN TIEMPO REAL
3MM21,3,30,30,0,PROCESOS INDUSTRIALES
3MM23,3,2,2,0,ELECTIVA I
3MM3,3,40,40,0,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS
3MM4,3,40,40,0,ETICA PARA EL EJERCICIO PROFESIONAL
3MM5,3,40,40,0,FINANZA E INGENIERIA ECONOMICA
3MM6,3,40,39,1,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS
3MM7,3,40,33,7,CONTROL CLASICO
3MM8,3,40,40,0,FINANZA E INGENIERIA ECONOMICA
3MV1,3,40,29,11,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS
3MV10,3,40,29,11,CONTROL CLASICO
3MV10,3,40,39,1,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS
3MV11,3,30,15,15,PROYECTO INTEGRADOR
3MV12,3,30,30,0,PROCESADOR DIGITAL DE SEÑALES
3MV13,3,30,30,0,PROYECTO INTEGRADOR
3MV14,3,30,30,0,INGENIERIA AMBIENTAL
3MV15,3,30,30,0,AUTOMATIZACION INDUSTRIAL
3MV16,3,30,30,0,AUTOMATIZACION INDUSTRIAL
3MV18,3,30,26,4,DESARROLLO EMPRESARIAL
3MV19,3,40,27,13,ECONOMIA Y LOGISTICA
3MV2,3,40,39,1,ETICA PARA EL EJERCICIO PROFESIONAL
3MV20,3,40,15,25,SISTEMAS DE CALIDAD PARA LA MANUFACTURA
3MV21,3,25,25,0,PRODUCCION MAS LIMPIA
3MV21,3,30,27,3,USO Y MANTENIMIENTO DE HERRAMENTAL PARA PROC. DE MANUFACTURA
3MV22,3,30,30,0,GRAFICACION EN 3D
3MV23,3,30,30,0,TOPICOS AVANZADOS DE ELECTRONICA
3MV3,3,40,32,8,MODELADO Y SIMULACION DE SISTEMAS MECATRONICOS
3MV4,3,40,19,21,ETICA PARA EL EJERCICIO PROFESIONAL
3MV5,3,40,40,0,ETICA PARA EL EJERCICIO PROFESIONAL
3MV6,3,43,41,2,INSTRUMENTACION VIRTUAL
3MV6,3,40,39,1,FINANZA E INGENIERIA ECONOMICA
3MV7,3,40,23,17,DISEÑO AVANZADO DE ELEMENTOS DE MAQUINAS
3MV9,3,40,26,14,INSTRUMENTACION VIRTUAL
4MM1,4,35,34,1,ELECTRONICA DE POTENCIA
4MM10,4,30,26,4,INTEGRACION DE UN SISTEMA ROBOTICO
4MM11,4,40,39,1,MERCADOTECNIA
4MM12,4,25,21,4,SISTEMAS AVANZADOS DE MANUFACTURA
4MM14,4,3,3,0,ELECTIVA II
4MM2,4,35,33,2,ELECTRONICA DE POTENCIA
4MM3,4,30,29,1,INGENIERIA ASISTIDA POR COMPUTADORA
4MM4,4,30,30,0,INGENIERIA ASISTIDA POR COMPUTADORA
4MM5,4,40,7,33,METODOLOGIA DE LA INVESTIGACION
4MM6,4,40,40,0,CONTROL DE SISTEMAS MECATRONICOS
4MM6,4,40,39,1,PROYECTOS DE INVERSION
4MM6,4,58,58,0,SISTEMAS DE VISION ARTIFICIAL
4MM7,4,40,38,2,CONTROL DE SISTEMAS MECATRONICOS
4MM7,4,40,12,28,METODOLOGIA DE LA INVESTIGACION
4MM8,4,30,20,10,PROCESOS AVANZADOS DE MANUFACTURA
4MV1,4,35,35,0,ELECTRONICA DE POTENCIA
4MV10,4,40,38,2,CONTROL DE SISTEMAS MECATRONICOS
4MV11,4,40,40,0,PROYECTOS DE INVERSION
4MV12,4,35,32,3,DISEÑO DE EQUIPO PARA MANEJO DE MATERIALES
4MV13,4,40,40,0,MICROCONTROLADORES AVANZADOS
4MV13,4,30,27,3,REALIDAD VIRTUAL
4MV14,4,30,30,0,INSTRUMENTACION VIRTUAL APLICADA
4MV15,4,30,29,1,INSTRUMENTACION VIRTUAL APLICADA
4MV16,4,40,39,1,MERCADOTECNIA
4MV16,4,20,15,5,TOPICOS AVANZADOS DE SOLDADURA
4MV2,4,35,33,2,ELECTRONICA DE POTENCIA
4MV3,4,25,25,0,INGENIERIA ASISTIDA POR COMPUTADORA
4MV5,4,40,33,7,METODOLOGIA DE LA INVESTIGACION
4MV6,4,40,35,5,CONTROL DE SISTEMAS MECATRONICOS
4MV6,4,40,38,2,PROYECTOS DE INVERSION
4MV6,4,40,32,8,SISTEMAS DE VISION ARTIFICIAL
4MV7,4,40,30,10,METODOLOGIA DE LA INVESTIGACION
4MV8,4,40,39,1,PROYECTOS DE INVERSION
4MV9,4,30,28,2,SISTEMAS DE VISION ARTIFICIAL
5MM1,5,25,24,1,CONTROL DE MAQUINAS ELECTRICAS
5MM2,5,25,25,0,CONTROL DE MAQUINAS ELECTRICAS
5MM3,5,35,25,10,TRABAJO TERMINAL I
5MM4,5,35,34,1,TRABAJO TERMINAL I
5MM5,5,30,27,3,TRABAJO TERMINAL II
5MM8,5,10,10,0,ELECTIVA III
5MV1,5,25,25,0,CONTROL DE MAQUINAS ELECTRICAS
5MV2,5,30,30,0,CONTROL DE MAQUINAS ELECTRICAS
5MV3,5,35,28,7,TRABAJO TERMINAL I
5MV4,5,35,30,5,TRABAJO TERMINAL I
