Grupo,Semestre,Cupo,Inscritos,Disponibles,Asignatura
1TM1,1,37,37,0,ADMINISTRACION DE SISTEMAS OPERATIVOS
1TM1,1,34,34,0,CALCULO DIFERENCIAL E INTEGRAL
1TM1,1,34,34,0,ALGEBRA LINEAL
1TM1,1,36,36,0,COMUNICACION ORAL Y ESCRITA
1TM1,1,36,36,0,PROGRAMACION ESTRUCTURADA
1TM10,1,32,32,0,PROBABILIDAD
1TM2,1,17,17,0,PROGRAMACION
1TM2,1,38,38,0,FUNDAMENTOS DE FISICA
1TM2,1,36,36,0,ECUACIONES DIFERENCIALES
1TM2,1,39,39,0,CALCULO MULTIVARIABLE
1TM2,1,28,28,0,ADMINISTRACION ORGANIZACIONAL
1TM2,1,38,38,0,"ETICA, PROFESION Y SOCIEDAD"
1TM2,1,23,23,0,INGLES I
1TM3,1,12,12,0,ADMINISTRACION ORGANIZACIONAL
1TM4,1,29,29,0,ESTRUCTURA DE DATOS
1TM4,1,40,40,0,PROBABILIDAD
1TM4,1,30,30,0,INGLES II
1TM5,1,39,39,0,VARIABLE COMPLEJA
1TM6,1,25,25,0,DISEÑO DIGITAL
1TM6,1,17,17,0,ELECTROMAGNETISMO
1TM7,1,29,29,0,ARQUITECTURA DE COMPUTADORAS
1TM8,1,21,21,0,"SOCIEDAD, CIENCIA Y TECNOLOGIA"
1TM9,1,15,15,0,"SOCIEDAD, CIENCIA Y TECNOLOGIA"
1TV1,1,34,34,0,ANALISIS Y DISEÑO DE SISTEMAS
1TV1,1,34,34,0,ADMINISTRACION DE SISTEMAS OPERATIVOS
1TV1,1,33,33,0,CALCULO DIFERENCIAL E INTEGRAL
1TV1,1,34,34,0,ALGEBRA LINEAL
1TV1,1,33,33,0,COMUNICACION ORAL Y ESCRITA
1TV1,1,33,33,0,PROGRAMACION ESTRUCTURADA
1TV10,1,31,31,0,ARQUITECTURA DE COMPUTADORAS
1TV11,1,19,19,0,"SOCIEDAD, CIENCIA Y TECNOLOGIA"
1TV2,1,35,35,0,ANALISIS Y DISEÑO DE SISTEMAS
1TV2,1,34,34,0,ADMINISTRACION DE SISTEMAS OPERATIVOS
1TV2,1,34,34,0,CALCULO DIFERENCIAL E INTEGRAL
1TV2,1,35,35,0,ALGEBRA LINEAL
1TV2,1,34,34,0,COMUNICACION ORAL Y ESCRITA
1TV2,1,34,34,0,PROGRAMACION ESTRUCTURADA
1TV3,1,5,5,0,PROGRAMACION
1TV3,1,5,5,0,FUNDAMENTOS DE FISICA
1TV3,1,6,6,0,ECUACIONES DIFERENCIALES
1TV3,1,14,14,0,CALCULO MULTIVARIABLE
1TV3,1,3,3,0,ADMINISTRACION ORGANIZACIONAL
1TV3,1,20,20,0,"ETICA, PROFESION Y SOCIEDAD"
1TV3,1,25,25,0,INGLES I
1TV4,1,28,28,0,FUNDAMENTOS DE FISICA
1TV4,1,30,30,0,ECUACIONES DIFERENCIALES
1TV4,1,8,8,0,CALCULO MULTIVARIABLE
1TV4,1,13,13,0,ADMINISTRACION ORGANIZACIONAL
1TV4,1,10,10,0,"ETICA, PROFESION Y SOCIEDAD"
1TV4,1,25,25,0,INGLES I
